,Team Dodd,,Team Yeager,,Team Emily,,Team Cindy,
QB,Allen,26.7,Fields,15.78,Prescott,25.3,Carr,21.02
RB,Pollard,16.8,Zeke,16.9,Kamara,0,Swift,3.9
RB,Williams,13.3,Montgomery,10.4,Drake,5,Jacobs,19.2
WR,Diggs,20.4,Gallup,15.6,Renfrow,21.6,Mooney,17.5
WR,Wilson,17.4,Beasley,9.6,Callaway,4.4,Goodwin,0
TE,Waller,5.3,Hockenson,12.5,Schultz,15.6,Knox,18.2
RB/WR,Aman Ra St. Brown,6.3,Ingram,0,Sanders,5.8,Edwards,2.2
DEFENSE,Dallas,2,Buffalo,11,Detroit,3,Bears,6
KICKER,Carlson,21,Zuerlein,7,Santos,10,Bass,7
Totals===>,129.2,,98.78,,90.7,,95.02,
